[2024-04-21 20:04:44,216: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-04-21 20:04:50,117: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2024-04-21 20:04:50,121: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\params.yaml loaded successfully]
[2024-04-21 20:04:50,121: INFO: common: created directory at: artifacts]
[2024-04-21 20:04:50,121: INFO: common: created directory at: artifacts\training]
[2024-04-21 20:05:08,523: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2024-04-21 20:05:08,525: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\params.yaml loaded successfully]
[2024-04-21 20:05:08,525: INFO: common: created directory at: artifacts]
[2024-04-21 20:05:08,525: INFO: common: created directory at: artifacts\training]
[2024-04-21 20:07:16,680: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2024-04-21 20:07:16,690: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\params.yaml loaded successfully]
[2024-04-21 20:07:16,690: INFO: common: created directory at: artifacts]
[2024-04-21 20:07:16,690: INFO: common: created directory at: artifacts\training]
[2024-04-21 20:07:26,980: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2024-04-21 20:07:26,982: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\params.yaml loaded successfully]
[2024-04-21 20:07:26,984: INFO: common: created directory at: artifacts]
[2024-04-21 20:07:26,985: INFO: common: created directory at: artifacts\training]
[2024-04-21 20:08:21,381: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2024-04-21 20:08:21,385: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\params.yaml loaded successfully]
[2024-04-21 20:08:21,386: INFO: common: created directory at: artifacts]
[2024-04-21 20:08:21,387: INFO: common: created directory at: artifacts\training]
[2024-04-21 20:08:37,126: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2024-04-21 20:08:37,129: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\params.yaml loaded successfully]
[2024-04-21 20:08:37,129: INFO: common: created directory at: artifacts]
[2024-04-21 20:08:37,131: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-04-21 20:08:37,430: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-04-21 20:09:30,194: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2024-04-21 20:09:30,197: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\params.yaml loaded successfully]
[2024-04-21 20:09:30,198: INFO: common: created directory at: artifacts]
[2024-04-21 20:09:30,199: INFO: common: created directory at: artifacts\training]
[2024-04-21 20:10:39,513: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2024-04-21 20:10:39,513: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\params.yaml loaded successfully]
[2024-04-21 20:10:39,513: INFO: common: created directory at: artifacts]
[2024-04-21 20:10:39,525: INFO: common: created directory at: artifacts\training]
[2024-04-21 20:11:53,597: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2024-04-21 20:11:53,599: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\params.yaml loaded successfully]
[2024-04-21 20:11:53,600: INFO: common: created directory at: artifacts]
[2024-04-21 20:11:53,601: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-04-21 20:11:53,892: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-04-21 20:13:19,351: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2024-04-21 20:13:19,355: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\params.yaml loaded successfully]
[2024-04-21 20:13:19,357: INFO: common: created directory at: artifacts]
[2024-04-21 20:13:19,359: INFO: common: created directory at: artifacts\training]
[2024-04-21 20:13:44,922: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2024-04-21 20:13:44,923: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\params.yaml loaded successfully]
[2024-04-21 20:13:44,927: INFO: common: created directory at: artifacts]
[2024-04-21 20:13:47,658: INFO: common: json file saved at: scores.json]
[2024-04-21 20:13:51,109: WARNING: save: Found untraced functions such as _jit_compiled_convolution_op, _jit_compiled_convolution_op, _jit_compiled_convolution_op, _jit_compiled_convolution_op, _jit_compiled_convolution_op while saving (showing 5 of 14). These functions will not be directly callable after loading.]
[2024-04-21 20:13:51,634: INFO: builder_impl: Assets written to: C:\Users\Praba\AppData\Local\Temp\tmpgdoloyjo\model\data\model\assets]
[2024-04-21 20:27:13,521: INFO: main: >>>>>> stage Data Ingestation started <<<<<<]
[2024-04-21 20:27:13,528: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2024-04-21 20:27:13,528: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\params.yaml loaded successfully]
[2024-04-21 20:27:13,528: INFO: common: created directory at: artifacts]
